,City,Latitude,Longitude
126,albuquerque,35.0999767482875,-106.573127905688
127,albuquerque,35.1860618591309,-106.664535522461
128,albuquerque,35.20688,-106.56755
129,albuquerque,35.0432735339819,-106.612811572986
130,albuquerque,35.1088537437345,-106.568442338121
131,albuquerque,35.141617,-106.602362
132,albuquerque,35.1090672,-106.5160663
133,albuquerque,35.0797729,-106.6068954
134,albuquerque,35.0879199,-106.56206
135,albuquerque,35.13832,-106.668129
136,albuquerque,35.1107393277131,-106.658545487033
137,albuquerque,35.0857849121094,-106.527809143066
138,albuquerque,35.0687825,-106.4992441
139,albuquerque,35.1026389880948,-106.568277913212
140,albuquerque,35.168163,-106.586687
141,albuquerque,35.0495758056641,-106.632904052734
142,albuquerque,35.11377,-106.60917
143,albuquerque,35.103203353406,-106.671059254434
144,albuquerque,35.0791329,-106.621188
